Time,leader_position(m),follower_position(m),leader_speed(m/s),follower_speed(m/s),leader_acc(m/s^2),follower_acc(m/s^2),trajectory_number
0.1,26.654,0,14.054,14.484,1.0973,-0.03048,1
0.2,28.06,1.4484,14.164,14.481,-1.0058,-0.03048,1
0.3,29.476,2.8965,14.063,14.478,-2.286,0.06096,1
0.4,30.882,4.3443,13.835,14.484,-0.88392,-0.03048,1
0.5,32.266,5.7927,13.746,14.481,0.85344,1.78E-13,1
0.6,33.64,7.2408,13.832,14.481,2.1641,0.36576,1
0.7,35.024,8.6889,14.048,14.518,1.0058,-0.73152,1
0.8,36.428,10.141,14.149,14.444,-0.51816,-1.4326,1
0.9,37.843,11.585,14.097,14.301,-7.11E-13,-0.57912,1
1,39.253,13.015,14.097,14.243,0,0.54864,1
1.1,40.663,14.44,14.097,14.298,-0.03048,1.463,1
1.2,42.072,15.869,14.094,14.444,0.03048,0.70104,1
1.3,43.482,17.314,14.097,14.515,-0.03048,-0.33528,1
1.4,44.892,18.765,14.094,14.481,0.06096,-0.03048,1
1.5,46.301,20.213,14.1,14.478,0.1524,0.03048,1
1.6,47.711,21.661,14.115,14.481,0.03048,-0.03048,1
1.7,49.122,23.109,14.118,14.478,-0.48768,0.03048,1
1.8,50.534,24.557,14.07,14.481,-0.73152,-0.03048,1
1.9,51.941,26.005,13.996,14.478,-2.4689,0.03048,1
2,53.341,27.453,13.75,14.481,-2.987,0.4572,1
2.1,54.716,28.901,13.451,14.527,-1.1582,-0.94488,1
2.2,56.061,30.354,13.335,14.432,0.73152,-2.0117,1
2.3,57.394,31.797,13.408,14.231,1.9507,-0.73152,1
2.4,58.735,33.22,13.603,14.158,0.85344,0.73152,1
2.5,60.096,34.636,13.689,14.231,-0.39624,2.0117,1
2.6,61.464,36.059,13.649,14.432,-0.03048,0.9144,1
2.7,62.829,37.502,13.646,14.524,-2.13E-12,-0.4572,1
2.8,64.194,38.955,13.646,14.478,1.42E-12,-0.03048,1
2.9,65.559,40.402,13.646,14.475,0.03048,0.03048,1
3,66.923,41.85,13.649,14.478,-0.03048,-0.03048,1
3.1,68.288,43.298,13.646,14.475,0,0.03048,1
3.2,69.653,44.745,13.646,14.478,0,0,1
3.3,71.017,46.193,13.646,14.478,1.2192,-0.03048,1
3.4,72.382,47.641,13.768,14.475,-2.4689,0,1
3.5,73.759,49.088,13.521,14.475,-4.8158,0.06096,1
3.6,75.111,50.536,13.039,14.481,-1.524,0.6096,1
3.7,76.415,51.984,12.887,14.542,1.463,-0.73152,1
3.8,77.703,53.438,13.033,14.469,2.7432,-2.4079,1
3.9,79.007,54.885,13.308,14.228,-1.7069,-2.4994,1
4,80.337,56.308,13.137,13.978,-4.7549,-1.7678,1
4.1,81.651,57.706,12.661,13.801,-0.70104,-0.09144,1
4.2,82.917,59.086,12.591,13.792,1.585,0.12192,1
4.3,84.176,60.465,12.75,13.804,1.7069,-0.33528,1
4.4,85.451,61.845,12.92,13.771,0.762,0.21336,1
4.5,86.743,63.223,12.997,13.792,0,0.06096,1
4.6,88.043,64.602,12.997,13.798,-0.42672,-0.03048,1
4.7,89.343,65.982,12.954,13.795,-1.4021,0.03048,1
4.8,90.638,67.361,12.814,13.798,-2.1641,-0.06096,1
4.9,91.919,68.741,12.597,13.792,-1.0668,0.03048,1
5,93.179,70.12,12.491,13.795,1.0973,1.1887,1
5.1,94.428,71.5,12.6,13.914,2.1336,-2.3165,1
5.2,95.688,72.891,12.814,13.682,1.463,-4.8463,1
5.3,96.97,74.259,12.96,13.198,0.21336,-1.8898,1
5.4,98.266,75.579,12.981,13.009,-0.39624,1.7069,1
5.5,99.564,76.88,12.942,13.18,0.18288,5.4559,1
5.6,100.86,78.198,12.96,13.725,0.6096,2.7432,1
5.7,102.15,79.57,13.021,13.999,-0.79248,-6.157,1
5.8,103.46,80.97,12.942,13.384,-4.4806,-6.157,1
5.9,104.75,82.309,12.494,12.768,-4.5415,-7.1323,1
6,106,83.586,12.04,12.055,-4.6939,-7.681,1
6.1,107.2,84.791,11.57,11.287,-4.6025,-5.9131,1
