household_id,census_division,census_region,driver_count,household_income,household_size,household_workers,home_type,household_location,number_adults_household,vehicles_per_household,travel_date,travel_day,urban,vehicle_type,hybrid,make,vehicle_age,vehicle_commercial,vehicle_delivery,vehicle_rideshare,fuel_type,vehicle_year
9000013002,New England,Northeast,2,"$175,000 or more",4,1,One-family detached,Urban,2,2,202202,Sunday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,7,No,,,Gas,2015
9000013002,New England,Northeast,2,"$175,000 or more",4,1,One-family detached,Urban,2,2,202202,Sunday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Subaru,3,No,,,Gas,2019
9000013016,New England,Northeast,2,"$75,000 to $99,999",2,2,Building with 2 or more apartments,Urban,2,1,202202,Wednesday,In an urban area,Automobile/car/stationwagon,No,Toyota,11,No,,,Gas,2011
9000013039,New England,Northeast,2,"$75,000 to $99,999",4,1,Building with 2 or more apartments,Urban,2,1,202201,Thursday,In an urban area,Automobile/car/stationwagon,No,Nissan/Datsun,7,No,,,Gas,2015
9000013041,New England,Northeast,1,"$175,000 or more",1,1,"Townhome, Condo",Urban,1,1,202201,Monday,In an urban area,Automobile/car/stationwagon,No,BMV,8,No,,,Gas,2014
9000013042,New England,Northeast,2,"$175,000 or more",3,2,One-family detached,Urban,2,2,202202,Friday,In an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Suppressed for confidential reason,5,No,,,Gas,2017
9000013042,New England,Northeast,2,"$175,000 or more",3,2,One-family detached,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,BMV,22,No,,,Gas,2000
9000013043,New England,Northeast,1,"$50,000 to $74,999",1,0,One-family detached,Urban,1,1,202202,Tuesday,In an urban area,Automobile/car/stationwagon,No,KIA,8,No,,,Gas,2014
9000013044,New England,Northeast,2,"$75,000 to $99,999",2,2,Building with 2 or more apartments,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Nissan/Datsun,13,No,,,Gas,2009
9000013044,New England,Northeast,2,"$75,000 to $99,999",2,2,Building with 2 or more apartments,Urban,2,2,202202,Friday,In an urban area,Automobile/car/stationwagon,No,Nissan/Datsun,5,No,,,Gas,2017
9000013045,New England,Northeast,1,"$50,000 to $74,999",2,2,Building with 2 or more apartments,Urban,2,1,202202,Monday,In an urban area,Automobile/car/stationwagon,No,Subaru,11,No,,,Gas,2011
9000013046,New England,Northeast,2,"$150,000 to $174,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,Automobile/car/stationwagon,No,Subaru,5,No,,,Gas,2017
9000013046,New England,Northeast,2,"$150,000 to $174,999",2,0,One-family detached,Urban,2,2,202201,Sunday,In an urban area,Van (Minivan/Cargo/Passenger),No,Chrysler,3,No,,,Gas,2019
9000013068,New England,Northeast,2,"$150,000 to $174,999",5,1,One-family detached,Rural,2,2,202202,Sunday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,KIA,1,No,,,Gas,2022
9000013068,New England,Northeast,2,"$150,000 to $174,999",5,1,One-family detached,Rural,2,2,202202,Sunday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Ford,2,No,,,Gas,2020
9000013081,New England,Northeast,2,"$50,000 to $74,999",2,1,One-family detached,Rural,2,3,202202,Thursday,Not in an urban area,"SUV (Santa Fe, Tahoe, Jeep, etc.)",No,Hyundai,1,No,,,Gas,2021
